COIN	COIN_ABR	DATE	OPEN	HIGH	LOW	CLOSE
bitcoin	BTC	2017-04-03	1102.95	1151.74	1102.95	1143.81
ethereum	ETH	2017-04-03	48.82	48.82	43.41	44.36
litecoin	LTC	2017-04-03	7.74	8.64	7.24	8.07
ripple	XRP	2017-04-03	0.060291	0.061594	0.027447	0.033023
bitcoin	BTC	2017-04-04	1145.52	1156.44	1120.52	1133.25
ethereum	ETH	2017-04-04	43.92	45.74	41.72	44.64
litecoin	LTC	2017-04-04	8.12	8.96	7.53	8.29
ripple	XRP	2017-04-04	0.033032	0.040702	0.028324	0.037455
bitcoin	BTC	2017-04-05	1134.14	1135.09	1113.63	1124.78
ethereum	ETH	2017-04-05	44.66	47.84	44.54	45.3
litecoin	LTC	2017-04-05	8.25	11.42	7.96	11.09
ripple	XRP	2017-04-05	0.037386	0.040178	0.035214	0.035544
bitcoin	BTC	2017-04-06	1125.81	1188.37	1125.81	1182.68
ethereum	ETH	2017-04-06	45.22	45.64	40.9	43.24
litecoin	LTC	2017-04-06	11.12	11.45	9.66	10.25
ripple	XRP	2017-04-06	0.035672	0.036843	0.029463	0.032665
bitcoin	BTC	2017-04-07	1178.94	1186.58	1163.39	1176.9
ethereum	ETH	2017-04-07	42.87	44.04	41.65	42.16
litecoin	LTC	2017-04-07	10.22	10.56	9.19	9.37
ripple	XRP	2017-04-07	0.03274	0.036935	0.030789	0.036319
bitcoin	BTC	2017-04-08	1172.65	1184.98	1162.58	1175.95
ethereum	ETH	2017-04-08	41.8	45.21	41.73	44.31
litecoin	LTC	2017-04-08	9.34	10.35	9.33	9.92
ripple	XRP	2017-04-08	0.036355	0.036894	0.034932	0.035849
bitcoin	BTC	2017-04-09	1176.57	1197.21	1171.86	1187.87
ethereum	ETH	2017-04-09	44.28	44.49	42.89	43.27
litecoin	LTC	2017-04-09	9.89	10.01	8.43	8.71
ripple	XRP	2017-04-09	0.035799	0.035799	0.032327	0.03402
bitcoin	BTC	2017-04-10	1187.3	1190.34	1179.04	1187.13
ethereum	ETH	2017-04-10	43.28	44.14	42.42	43.44
litecoin	LTC	2017-04-10	8.72	9.2	8.19	8.92
ripple	XRP	2017-04-10	0.034123	0.035091	0.032806	0.033598
bitcoin	BTC	2017-04-11	1187.46	1208.07	1187.46	1205.01
ethereum	ETH	2017-04-11	43.5	44.25	43.3	43.41
litecoin	LTC	2017-04-11	8.91	9.28	8.66	8.85
